5364	7800	6
9784	4018	16
367	7431	0
107	8415	2
125	4141	31
500	8280	1
13210	8168	10
6246	104	9
142	8810	26
1	8659	9
153	2008	1
39195	9839	10
23981	6571	4
119	6299	1
4017	9789	3
3164	6026	29
970	825	1
23790	7559	23
278	2133	18
14	4233	10
3375	7955	10
176	4376	9
4533	2252	11
15413	335	21
12	4161	6
7538	9283	30
14001	2961	1
101	6053	24
14	3697	34
1798	1450	2
31811	5519	7
138	4200	2
101	2851	11
5383	636	23
3474	4845	1
368	355	3
14	8205	27
233	2703	11
47236	2874	1
14	8680	7
15710	8572	6
3295	7264	6
2673	6919	21
2112	1377	2
170	6868	15
1429	180	1
9296	8627	11
101	6411	9
406	7893	6
23610	9795	0
138	9216	13
111	2465	22
30072	8340	2
14	550	10
12	6788	11
1	5784	14
38857	3481	2
37365	8721	6
110	3989	29
1973	6492	27
2076	4378	21
592	6844	3
3425	1827	17
28000	2913	6
1909	7758	24
43750	505	16
15182	7164	12
101	7805	36
455	8195	8
534	3000	5
121	504	7
113	363	23
962	6688	0
101	5070	4
102	7855	10
101	3471	23
2905	6269	6
110	1495	18
43761	4906	15
119	5684	4
114	6948	10
29488	7926	15
101	1263	4
101	2048	3
8318	4711	5
16	8336	12
14	225	10
12	6211	11
811	2909	7
14	1839	8
841	9494	12
101	7848	5
103	4013	8
12	9284	7
103	2147	10
449	4801	0
12	6313	7
40240	8753	7
296	5351	0
994	566	4
222	6501	21
363	1543	16
35873	4870	23
5730	8432	8
3279	4792	13
9074	6775	0
104	2568	0
9090	8053	5
7886	3844	10
11670	9077	10
49433	3531	7
45091	1113	20
12	4140	8
2255	4924	12
209	6663	1
16325	4993	1
12	2118	5
5870	8040	9
22704	3926	9
11730	3687	27
19682	5949	26
105	5740	3
8227	7062	11
116	5280	4
104	2255	0
21	1235	5
51615	1764	6
357	208	31
13	6423	7
10206	2791	20
382	5512	31
49185	2080	7
147	5464	1
148	319	27
21750	5472	7
32853	3143	18
3401	4832	3
9	7680	27
132	5723	6
991	456	6
103	2276	8
108	4826	21
3341	3494	3
6043	8380	10
12344	7589	3
684	950	20
105	4515	21
19573	6974	0
105	7500	18
102	3306	6
31230	890	16
129	6247	19
101	6625	5
44233	4940	2
16	4351	5
1635	1300	11
12	2566	7
14433	1535	12
8794	7822	19
47874	7860	15
48121	6223	15
34757	920	6
34587	9605	14
6094	4218	10
4838	3158	14
101	5802	8
2192	7046	6
131	6604	34
844	5211	6
107	3824	12
590	6815	23
2099	2408	2
102	4330	3
47070	2565	10
11066	1062	9
1536	4656	0
381	9026	2
13539	8674	9
12	5538	8
209	2507	11
12	6312	19
105	7626	4
149	5426	0
2372	9838	19
40135	6026	15
11567	4987	7
141	8357	6
12	4141	28
3443	6235	3
108	8698	14
14	9157	11
160	9332	17
1610	88	9
128	6764	2
105	2250	9
2412	715	10
2	7351	6
2561	138	22
12	162	5
19848	2985	11
442	6521	15
118	2431	14
1141	1585	24
102	5222	6
133	9271	2
101	1699	7
466	231	12
109	8597	6
47614	2812	1
341	3786	10
12	5444	5
8	3171	10
101	2536	10
21	6609	5
110	5328	25
102	8129	21
1406	4707	0
5868	3822	27
3339	4488	7
181	9960	4
12	36	19
1142	4766	14
14487	2647	19
101	2414	28
104	748	0
1122	3001	1
454	4547	26
241	4561	14
24905	2450	22
314	2963	19
269	1551	7
765	5932	23
41203	6619	29
43744	1646	8
12	1451	7
300	753	12
46829	3036	22
105	2125	11
103	9926	19
160	7990	28
102	4462	16
16	6876	5
5244	6573	5
13684	4588	13
147	7483	3
552	7465	23
904	2624	10
3302	9460	26
12	7906	2
17406	3297	6
12	7943	30
12	8719	2
3140	6444	22
1858	5636	3
995	4708	32
105	6306	9
43338	2731	6
8352	5084	16
125	8647	17
101	7658	2
257	1881	4
356	4533	9
14	2356	35
107	8503	11
16	9462	5
27280	4946	20
1684	2134	27
1620	7983	11
44022	4505	14
2282	8722	19
21916	8825	0
105	6918	3
103	2181	7
12	5445	17
30108	8168	20
39339	5352	23
12	1324	5
2021	8522	16
101	8867	8
102	7431	1
4208	2287	2
28197	1492	9
187	724	9
104	1445	0
162	2390	33
128	6435	16
12	2252	18
505	4389	8
16	6997	3
107	1015	2
1304	8348	0
109	3678	0
256	8140	3
16669	9653	36
24525	3116	1
7241	1062	7
403	4470	1
19952	6867	8
3402	2786	9
103	5965	18
777	9864	10
12	6913	12
445	4560	7
24548	2021	18
29743	4543	12
2856	6415	9
123	8143	17
19341	395	4
184	5960	13
8903	4914	2
678	5317	9
153	1977	14
1575	573	7
2440	5852	7
14	8630	37
209	7938	2
991	9824	2
336	7963	5
27402	7548	29
109	3225	0
6280	6542	8
101	7487	35
278	1690	12
34803	7623	11
6203	7766	25
3002	9379	1
250	3179	28
43056	7854	25
18599	6268	0
26586	6988	16
12	3680	14
39972	415	8
731	525	11
12	874	21
47831	4230	23
5366	7034	10
101	4237	23
201	6044	12
309	5422	18
12	8357	12
4253	8949	19
46624	378	12
4792	5347	26
5316	4652	29
14	804	15
217	5730	4
747	4142	14
116	9191	2
224	5164	1
45579	6994	11
11387	8831	7
2283	4411	0
101	3788	4
249	2887	14
12	2921	12
25316	6416	15
122	3832	25
1266	8145	1
14	5067	13
575	3000	19
26306	2924	12
106	4638	24
36859	7012	6
103	8524	25
103	7050	7
13	4087	8
653	2956	24
12	8202	28
14	4061	35
323	3980	14
21238	8325	0
102	8068	9
2788	8051	29
1777	6969	3
47909	3656	4
8968	6862	5
235	2348	6
118	7060	6
151	7644	18
108	7830	3
14	2830	16
101	3813	2
101	1476	7
7574	7639	28
104	844	0
101	1057	27
5980	8934	10
728	8931	20
842	2644	7
148	7288	7
101	8515	10
104	395	0
2215	5258	13
1038	3727	8
44479	9854	6
4130	3421	8
12	258	5
34778	1112	30
108	8380	3
4231	3199	2
902	60	10
7226	1568	2
21	8127	7
939	1982	1
9480	8609	0
10616	5693	6
12982	2225	1
101	873	15
3470	8835	20
14	5902	21
156	117	2
106	2653	19
14	6660	14
5844	6103	20
50221	5987	3
1841	3269	22
101	4261	5
610	7154	6
253	7405	5
103	2689	13
2512	6301	4
114	2820	3
140	1742	11
12	7557	2
6561	2160	14
101	6176	10
16	5872	8
42814	8642	21
20835	1396	10
104	1029	0
21897	8810	0
35944	6115	5
3727	8487	31
267	4643	6
103	3854	25
2554	4915	9
30249	5645	2
2648	8217	10
103	516	2
3686	3568	8
45685	8998	8
1305	8401	0
14	4614	3
12	7398	8
192	5495	10
40782	5512	10
130	4709	9
102	3593	21
38191	4493	21
2149	1874	10
101	7372	20
5014	3297	19
120	2229	15
2	3677	26
12	8002	2
40852	9104	17
5841	624	8
6827	5449	8
266	2082	1
10657	8819	1
833	170	4
12	8864	18
12970	2665	23
1974	9590	12
103	616	24
122	3486	13
871	1402	5
8353	6447	14
30561	9677	25
101	9377	16
101	2085	4
1728	3750	10
3583	8225	15
249	3147	18
22455	6872	23
121	9160	40
16017	2499	3
14	6605	10
12	4323	3
1962	573	6
109	3385	0
2206	89	7
257	2975	5
29367	7142	2
4843	7212	15
474	4704	11
1218	8391	23
109	4094	0
49670	9497	6
101	5157	1
1404	905	0
4705	9103	0
48345	332	10
47146	7274	4
3944	2834	6
14	3245	28
3563	6021	7
12	3911	12
112	4328	4
16058	2903	0
124	8174	11
101	6017	11
119	6002	9
114	6754	7
265	4962	12
1932	7136	31
8817	7514	6
14	998	17
115	9096	2
351	6887	2
2924	7424	12
443	245	4
214	3375	1
2401	2894	7
2012	3877	2
2937	6750	6
103	4963	18
14	6116	25
12	3910	24
3513	7688	2
102	7693	15
27118	8202	18
14530	5161	24
399	7	13
123	4066	13
12	1987	23
103	1888	14
105	2432	5
598	6285	9
2255	760	13
800	6084	9
21007	5384	14
13	8253	26
10621	383	15
219	7011	25
204	5017	4
124	522	6
16818	4343	0
174	121	10
2108	8150	18
132	8051	28
115	2116	2
4746	6052	10
101	736	9
127	9932	2
1126	2640	20
101	5282	3
1402	9735	6
255	521	20
105	8780	5
416	3454	5
14	865	19
2635	8488	0
7999	8838	7
101	1674	1
14445	9572	14
129	9858	24
102	6304	7
2992	4692	2
113	2127	12
49191	7484	12
16	2236	14
49536	4139	2
137	5564	11
117	8152	19
101	2918	23
3648	4669	0
158	6069	0
10463	8872	7
43061	1127	26
7688	9901	17
107	1053	19
2667	1018	29
10516	2869	8
101	9286	9
4247	815	27
16520	2416	19
150	4336	20
4143	6871	4
122	8216	28
128	1409	16
784	5941	17
39035	8562	17
122	692	15
197	6342	27
12	8320	11
1046	6462	10
24715	1864	25
4703	4900	4
16079	8981	10
41775	6793	11
101	8527	11
47879	4044	11
14	2948	7
2439	470	7
7144	7426	7
1039	8803	27
2188	8820	24
192	9818	4
122	4252	13
14	7203	17
395	2338	10
101	2465	23
3613	1364	2
2864	6227	17
29644	3307	4
2243	8702	5
12	8548	3
38436	3467	9
14	9067	15
563	5324	1
101	7238	3
19063	6506	3
152	7475	23
1264	2658	37
101	1806	18
104	6862	4
946	7520	10
6232	5385	10
4108	6346	29
8241	3029	1
12	8896	9
733	3471	22
105	9799	2
7800	5799	2
347	6819	2
21308	7378	1
51556	2102	21
8307	8883	14
101	9734	11
15196	6827	26
6191	9529	5
4518	1799	9
40812	5077	18
12	5678	16
12	8199	9
230	9310	26
4278	3529	8
6886	4686	13
779	9378	1
1128	3751	2
14	2215	15
101	1068	14
101	4718	4
101	6314	29
2792	7095	25
36607	9494	1
174	3007	22
8969	9632	6
12	1030	18
104	2415	0
203	4529	1
1144	9715	33
20452	508	6
34051	1154	16
12	2051	25
12	3624	7
101	8391	25
205	1822	8
3559	9182	19
699	4959	15
101	3139	13
26984	2300	23
125	108	25
483	9906	26
341	3822	25
27690	2532	17
101	2664	19
12	1864	20
167	300	27
105	9615	18
108	5171	21
108	625	31
105	3074	4
38356	9850	3
1108	8804	11
13	4433	2
14	3233	29
12	577	22
34590	3100	11
857	136	16
28745	2471	15
4818	3423	4
246	4402	2
14	3845	23
33363	6287	17
38594	678	6
1264	5815	1
105	9481	4
12	6829	13
104	2984	0
2026	4297	5
101	7340	15
102	2114	16
12	2180	27
105	4229	3
4542	7099	3
105	1735	9
12	7971	13
274	4881	10
552	8672	4
6760	1764	18
132	895	24
1924	9842	18
17453	4496	35
101	9258	19
3573	3388	18
22845	9580	0
37794	7394	5
11467	1638	17
114	295	3
116	97	6
287	1361	19
1067	8594	22
12	1999	22
2	8441	23
4089	5328	3
11922	2577	11
1249	5727	2
9	3755	17
101	5737	2
24553	4085	30
231	6417	20
51503	8750	9
38138	3565	20
101	8079	7
5154	8230	1
101	3587	15
44092	7302	4
1336	8567	16
1826	8064	16
12	803	8
818	1088	11
14	9865	21
10578	1249	3
12	9571	5
14	4421	16
105	4582	9
6181	1032	29
14	4696	33
4068	372	18
6856	7826	13
58	3105	36
1550	3319	4
212	4558	6
3256	9376	8
40697	1458	21
588	6075	5
681	8114	4
42794	2356	25
103	1551	5
149	5717	0
4436	7164	13
12	3176	5
5607	1299	9
12	4861	12
10701	5491	14
255	499	19
6340	5957	4
134	3522	12
7163	7596	25
209	5177	2
51150	2108	7
649	4754	7
538	6468	0
135	5450	17
2539	4905	14
101	8917	23
101	3665	3
14466	8261	13
107	8960	2
14	9044	13
520	9538	4
106	9060	4
103	403	11
12	3130	9
6626	7470	38
317	7116	5
41009	1612	24
244	4045	10
101	8340	1
152	3429	1
101	1748	12
21	8481	6
21302	8429	0
360	236	7
415	3111	4
102	7671	8
2445	9438	15
37318	7530	5
126	8374	2
136	3758	10
3856	3101	19
14	6074	20
37173	8825	6
27336	5179	8
102	5490	7
102	7763	2
21117	2495	5
3548	5271	3
44995	8673	19
1875	949	7
102	4063	10
136	6829	22
12	438	4
8165	1620	20
14	3926	15
20267	1660	38
45239	2675	19
23494	8979	1
13	9578	21
14	604	20
172	6123	4
3385	8182	15
101	8026	9
4243	4671	8
101	1042	24
113	2609	24
5290	5135	12
11684	9774	5
108	3881	8
14	8594	25
108	6507	2
108	4682	7
6641	5209	8
21171	9650	11
27433	9715	5
12	5023	18
229	2753	8
3917	7777	1
9341	7990	0
101	7422	3
16	6415	4
38311	1455	1
101	6960	1
13470	2068	3
14230	3308	14
265	9022	6
14	5151	10
24496	2985	9
43283	5581	5
34520	455	21
8474	8613	2
101	4021	11
1079	5053	5
3118	8940	3
5693	5902	6
1459	8752	4
12	6003	12
156	519	23
14771	212	3
6957	6107	11
14	8120	25
12953	6419	19
113	5232	11
1756	9336	4
44328	5883	16
101	283	26
2228	8204	11
2321	4569	3
1370	2935	14
4505	920	0
4029	3	7
24121	7376	14
12	475	10
2053	7774	14
25860	6856	24
20384	4157	1
37967	648	3
27858	3449	18
14	2473	36
20802	7997	0
1700	6008	6
1572	312	11
2951	737	12
3612	1450	4
680	1063	7
3720	3745	9
14	5682	6
46651	5875	1
10254	2647	10
41825	3780	8
101	6429	13
12519	9671	13
127	2039	24
101	7891	15
30808	574	1
9	7356	17
8526	5164	6
334	2051	20
101	6392	17
8357	1470	5
104	2519	0
26977	5465	11
138	9176	11
2892	1919	35
104	2832	0
16	685	25
1043	9955	7
1607	9867	4
45081	8862	2
17384	3341	1
1915	3583	3
32554	8302	7
140	9979	21
14	1401	14
106	5317	15
601	2079	6
262	9290	19
11370	965	6
9216	2283	2
3661	196	24
101	4057	17
1611	553	6
1823	6392	21
102	2747	6
231	2944	2
1434	7406	9
6931	1024	8
129	2164	25
9471	8740	0
32526	2047	11
170	1730	14
14	275	6
12	4083	13
14	7102	11
108	4768	11
101	2647	17
10129	1785	17
38882	3917	19
1513	3548	20
101	3196	15
162	9791	13
9040	8834	9
103	5720	7
410	4966	20
1214	737	11
14	9462	21
10857	8357	28
121	8451	6
113	6073	15
5151	454	3
300	2829	12
107	3597	16
101	9591	15
103	9726	10
2	5580	4
12	7516	13
774	3598	8
116	95	16
675	4825	1
1642	3537	0
105	1208	9
20250	1600	16
132	1835	6
10855	6827	14
102	9465	6
101	496	2
101	2868	27
25498	8260	7
26448	3175	26
14	3230	31
41938	3659	31
949	9659	9
2655	2038	4
3780	9150	13
12	7928	7
37274	5485	11
24120	213	2
101	9020	10
3850	904	6
10473	9606	11
132	1129	1
6490	8135	25
24355	4330	20
12	3986	2
967	2522	8
2870	7956	4
1728	6140	21
1470	6278	4
13394	5529	2
15266	6683	16
27659	5892	25
16425	3276	3
7471	3583	24
9200	7172	0
12	7263	28
108	2319	3
114	733	4
1921	3241	9
8299	7448	6
12	1077	17
667	6694	0
971	9800	29
101	9617	2
1249	3821	20
101	5238	25
12	95	25
2963	2328	10
43346	9309	18
11994	8165	5
45324	1831	11
48379	306	2
193	9202	1
8231	1390	4
12394	4009	3
309	6480	19
3494	3320	17
101	8699	10
101	2737	28
104	307	0
111	2967	11
1000	2965	12
132	7117	14
541	6054	13
8932	7943	12
105	3164	9
12	9658	10
250	9812	4
456	5046	8
104	1213	0
436	8446	30
12923	3882	31
803	603	13
23213	1010	14
14	8762	18
4788	5429	13
134	5541	20
5524	3769	1
5485	8722	22
1230	1796	23
2888	656	27
1251	3911	6
12	5952	32
12159	8340	24
959	450	16
107	4879	16
5841	1286	10
1696	2554	23
388	2530	11
1186	4404	5
1769	4895	13
12360	8051	1
12	8946	30
1110	4436	7
1	3717	8
536	4622	5
14	371	29
14	7134	16
8732	3883	27
104	1658	0
5982	4949	6
101	2614	30
102	5625	4
101	5973	17
101	4478	15
1333	4638	12
1036	9744	12
103	7448	13
41732	8960	9
12	317	7
163	8287	0
205	1962	9
109	3457	0
2924	8822	4
101	6992	26
14	6517	10
26403	7327	6
2069	5702	3
1984	2911	1
3056	17	9
641	5997	14
18733	6402	0
261	6217	2
8605	5841	32
1823	8124	0
1149	1782	29
102	3583	19
103	1275	6
1571	3519	11
12	3740	6
122	8263	5
221	2298	16
594	9140	6
331	5831	3
105	6480	5
239	3376	25
14	2458	8
29456	2159	7
12	7639	14
4485	9924	10
1004	3091	15
159	9889	8
107	8389	7
2006	2394	11
115	7288	28
17715	3747	23
12998	4001	10
110	9282	12
101	9950	16
268	9202	23
12429	1409	14
14	4243	15
12883	1502	12
4753	8414	8
6359	1488	2
2	7941	8
101	899	44
1	6315	24
101	9594	26
31239	3129	17
102	7440	17
5103	6291	1
117	8621	10
109	3910	0
33816	3542	9
14	67	32
23478	2966	1
6609	8214	13
158	7593	2
23222	9336	0
2875	8438	11
34439	6567	8
559	2220	7
21002	3478	10
32704	6514	11
318	9345	18
47948	2989	10
35280	1058	17
1365	1300	7
50298	3149	12
16	5346	6
2781	6298	7
21711	427	4
209	3857	8
21375	1282	23
14	8336	28
43088	5847	19
191	3726	19
59	6783	6
9	7161	16
196	9917	5
4934	9427	11
734	9335	5
36205	828	23
205	8206	12
13068	3876	17
112	1236	26
25821	6140	7
8	7898	14
147	9642	15
31085	5365	15
460	7909	0
