101	890	9	20.7
101	1042	4	4.15
164	241	5	35.27
101	2385	3	6.02
225	114	17	114
2145	12	4	9.28
107	4878	3	24.03
1925	12	5	13.01
109	214	28	189.24
101	5630	3	11.52
2414	14	3	8.12
102	254	8	12.24
102	202	54	268.09
101	2067	3	5.3
101	5427	3	11.52
710	106	3	8.72
210	12	37	80.34
182	339	4	31.65
1364	464	5	67.7
101	2488	5	16.31
1396	103	14	116.29
12	1840	10	52.22
456	14	9	15.46
481	152	3	21.32
145	21	3	7.17
2566	348	8	133.74
2834	101	3	6.9
226	197	3	19.87
109	906	3	15.03
117	102	20	4.93
104	588	3	6.3
999	102	5	15.44
101	2942	5	18.37
140	106	7	5.48
816	1	23	278.36
967	116	3	19.67
577	207	3	26.33
253	14	10	9.42
2481	12	6	22.64
101	7565	3	15.87
12	2799	3	6.71
102	2254	7	41.82
7405	16	3	31.01
101	3918	4	16.3
12	413	7	4.04
137	101	41	23.36
12	6422	3	15.66
101	6143	3	15.87
101	4105	3	9.43
762	160	3	24.77
465	480	7	84.86
151	14	15	4.29
2503	159	4	45.93
106	1577	3	13.5
356	12	11	11.41
103	360	6	15.22
253	1119	4	45.13
121	14	46	24.88
117	418	3	14.97
158	634	3	23.45
239	101	23	35.74
101	2747	4	12.04
104	331	7	18.75
101	482	12	20.54
106	261	6	14.76
101	438	24	75.51
102	8112	3	21.96
926	101	8	17.17
1324	120	6	54.03
1376	12	5	9.23
114	182	4	12.32
1663	108	3	17.49
122	1194	4	31.18
12	205	92	469.98
104	1461	4	17.78
12	325	10	6.93
13	1287	4	25.32
115	203	4	13.79
12	3130	5	20.85
108	2494	3	19.76
459	16	3	10.42
106	1236	4	18.58
124	111	11	29.83
773	700	21	381.47
1400	194	3	31.23
972	14	5	9.83
2179	14	3	7.35
167	349	7	61.64
101	4949	3	11.52
2360	120	8	97.53
3505	12	6	31.33
698	12	24	111.54
101	6293	3	15.87
2063	101	3	5.3
948	115	3	17.99
7089	101	3	15.87
249	1672	6	80.18
367	107	3	7.07
507	101	35	185.23
101	2413	4	10.66
101	4587	3	11.52
5830	12	3	11.32
104	2216	5	29.7
461	284	3	27.6
120	12	70	37.27
101	738	5	4.38
102	6674	3	21.96
3926	12	3	9.24
112	356	3	12.31
157	1983	3	30.42
127	450	4	25.29
102	2975	4	19.88
104	2073	4	21.34
2238	12	3	5.12
1717	14	5	15.79
107	351	4	11.08
107	419	5	17.74
107	503	4	13.45
1995	12	5	13.01
872	12	6	8.49
101	951	8	17.17
