323	157	3	13.39
471	14	19	52.31
399	114	3	5.05
957	109	3	9.68
323	111	5	9.57
45	864	4	28.28
830	14	4	4.12
101	185	83	305.27
452	102	22	99.51
799	685	3	34.14
2	316	7	28.61
997	365	3	31.29
2304	110	8	66.22
1287	105	3	9.98
188	110	6	4.14
111	214	14	36.09
1492	9	14	195.04
3898	101	3	14.5
316	12	11	6.19
109	1102	3	10.28
4777	108	3	21.87
279	119	10	39.48
142	214	4	12.8
1354	376	3	33.46
112	2842	3	17.82
108	291	4	4.22
107	3977	3	18.64
116	3948	5	48.2
113	698	6	25.73
115	328	6	14.99
124	375	5	20.58
856	177	3	22.75
1792	14	7	27.9
124	292	4	11.91
515	324	5	47.99
320	166	3	14.57
2835	21	7	95.56
2057	109	5	30.37
103	814	3	5.38
189	133	4	8.66
101	1198	7	26.83
987	507	8	108.91
2031	105	4	20.09
210	12	49	95.11
6816	127	3	34.24
816	101	7	20.11
109	781	3	8.22
109	697	4	12.36
294	235	3	17.44
108	480	5	13.3
2068	117	4	26.14
112	2917	3	17.82
1392	103	3	8.48
395	121	3	8.74
291	134	19	130.57
1778	101	4	13.35
5626	5633	3	72.68
330	446	4	35.05
196	13	3	5.92
563	106	3	5.08
384	115	3	5.04
39	1124	3	21.77
125	144	10	20.12
285	104	5	4.51
1164	352	3	31.7
157	133	4	5.97
189	1548	3	27.15
167	346	3	15.29
118	1255	4	22.74
2910	21	3	31.35
497	111	6	20.21
104	384	6	11.23
537	376	4	38.7
45	309	13	89.15
612	1353	8	119.78
364	110	5	11.06
1333	101	3	6.45
149	628	3	18.07
104	2891	7	57.06
379	134	4	17.71
522	12	14	29.38
477	105	3	4.18
6215	12	3	17.03
101	1811	3	8.7
1907	1163	8	140.51
102	915	18	113.54
121	1398	4	25.39
253	304	4	26.64
101	1707	11	70.59
102	1018	4	11.22
617	105	6	18.87
103	158	13	4.72
5	108	3	12.07
163	581	5	37.31
103	307	7	8.28
2666	394	5	73.24
4865	135	3	31.05
125	3386	3	25.1
6853	14	3	17.96
144	129	8	15.82
234	141	8	38.03
760	109	4	12.91
375	105	39	238.99
174	203	7	36.19
123	140	48	230.37
102	765	6	17.67
227	106	63	338.65
154	101	41	59.61
1698	108	3	13.07
734	105	4	10.87
3814	110	4	31.25
163	325	6	37.44
202	154	9	45.4
314	123	3	7.8
788	12	7	11.24
1231	101	5	15.31
125	1023	6	42.48
385	12	13	15.68
104	3147	6	48.91
148	113	9	6.1
153	522	3	17.11
105	994	5	19.15
104	135	19	8.21
1850	109	4	21.04
104	195	11	11.6
2159	14	3	7.12
1290	14	6	15.78
150	173	6	21.57
114	1169	3	11.83
314	139	3	11.1
482	322	15	179.44
104	232	6	4.06
12	1528	3	4.19
468	105	4	7.19
105	959	8	39.22
216	140	11	56.3
117	115	37	28.3
116	1859	3	16.15
234	125	3	5.56
104	1561	3	10.75
422	12	10	10.03
109	545	3	6.06
128	642	3	14.45
195	1462	3	27.25
306	239	4	26.45
122	1157	7	52.87
3861	108	3	19.66
293	106	50	291.04
817	12	5	5.46
209	101	10	4.45
108	644	6	22.07
115	607	4	12.87
113	296	4	5.64
6357	104	3	24.45
113	179	10	14.63
448	111	3	5.43
953	14	5	8.53
2296	14	3	7.12
3984	102	3	16.25
1411	104	4	15.58
596	111	4	11.87
5	152	4	34.69
130	183	9	30.51
180	193	4	15.81
5711	14	3	17.96
146	120	11	20.34
822	110	3	9.07
336	103	6	7.15
5064	110	4	36.23
2573	110	3	16.69
1658	12	3	4.62
1240	101	3	6.11
113	5978	3	27.63
104	367	5	7.31
104	487	6	14.9
1545	189	7	78.28
13	172	16	74
212	3142	3	34.72
569	105	11	46.87
101	2386	4	17.3
1498	105	4	16.92
122	210	5	11.71
374	127	5	22.22
2788	109	3	17
1007	2351	5	82.95
1152	14	4	6.32
150	544	3	17.25
45	150	8	25.49
5744	14	3	17.96
121	283	12	55.85
2891	14	7	41.91
196	122	4	6.63
105	194	7	3.87
111	557	3	6.84
537	4239	3	46.87
116	199	8	14.3
2497	14	3	7.89
1033	109	4	15.66
192	151	4	12.76
157	181	3	7.59
12	3463	6	34.06
1230	12	4	5.72
138	167	23	127.29
189	181	4	15.25
2585	101	3	10.83
1021	12	4	4.62
102	561	20	99.49
6608	127	3	34.24
189	230	3	12.51
121	2012	3	19.86
115	492	3	6.9
118	1017	3	14.14
107	3733	3	18.64
377	113	3	4.64
119	306	3	5.88
108	340	4	5.75
2217	109	3	15.16
108	143	11	5.01
145	456	3	14.67
1322	105	9	53.36
729	130	7	49.25
381	106	5	8.73
489	101	6	9.23
129	276	3	8.12
115	162	7	5.58
1247	117	3	13.99
2236	12	3	6.29
113	683	9	46.01
12	2556	3	7.05
137	2935	3	26.9
869	242	3	26.13
236	105	7	7.31
101	200	43	113.61
869	12	5	6.11
102	1508	3	8.83
120	278	3	5.53
1332	12	6	14.09
3306	108	3	18.1
223	12	15	4.47
104	2417	3	14.04
1743	107	3	12.08
3668	14	4	19.05
105	533	4	8.3
473	1929	3	37.48
994	104	3	7.84
107	2708	3	15.87
105	585	4	9.04
173	1040	3	23.56
111	301	4	5.28
485	107	5	11.98
1457	14	5	12.61
841	120	4	20.34
736	3981	5	89.37
129	458	3	12.22
102	439	15	53.66
937	105	3	8.08
355	125	3	9.22
598	3671	3	45.3
112	148	25	54.46
102	483	4	5.35
113	1063	10	66.04
